kind,setting_name,model_name,dam_n,distance_rank,layer,mean_pairwise_cosine_distance_mean,gen_accuracy_mean,ident_accuracy_mean
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,2,9,layer_6,0.0994009790013222,4.75,100.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,2,10,layer_10,0.11812635938697931,32.5,45.5
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,2,11,layer_11,0.44581541515747575,58.0,56.5
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,4,0,layer_0,0.004249250804563313,7.75,6.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,4,1,layer_1,0.004316388912321263,8.25,22.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,4,2,layer_2,0.011764694230573752,8.75,66.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,4,3,layer_3,0.022406191430571175,8.25,93.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,4,4,layer_4,0.04696781312528442,9.0,99.5
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,4,5,layer_9,0.05194604199636976,17.25,62.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,4,6,layer_8,0.06262455669869482,9.5,93.5
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,4,7,layer_5,0.08159764556042544,8.0,100.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,4,8,layer_7,0.08776422503840206,7.25,100.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,4,9,layer_6,0.0994009790013222,5.5,100.0
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,4,10,layer_10,0.11812635938697931,32.5,45.5
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,4,11,layer_11,0.44581541515747575,58.75,56.5
dam,occ50_dnoise001_s40,vit_base_patch16_clip_224.openai,6,0,layer_0,0.004249250804563313,7.5,6.0
