model_name,seed,metric,preprocess_mode,task_mode,pooling,n_per_color,run_n_per_color,n_stored_per_color,square_size,ident_noise_std,ident_max_shift,ident_occlusion_frac,ident_decision_noise_std,color_only_jitter_std,layer,ident_accuracy,ident_avg_target_sim,ident_avg_best_wrong_sim,ident_avg_margin,gen_accuracy,gen_avg_target_sim,gen_avg_best_wrong_sim,gen_avg_margin,avg_margin
vit_base_patch16_224,0,cosine,l2_only,color_only,mean_tokens,12,12,2,56,5.0,2,0.5,0.01,8.0,layer_0,0.0,0.9631103705414336,0.9641926965809099,-0.0010823260394763705,90.0,0.9999859958876506,0.9999664912599873,1.9504627663461765e-05,-0.0005314107059064543
vit_base_patch16_224,0,cosine,l2_only,color_only,mean_tokens,12,12,2,56,5.0,2,0.5,0.01,8.0,layer_11,0.0,0.9310178847941842,0.934627636759152,-0.003609751964967619,93.33333333333333,0.9998059858705293,0.9994630127768136,0.0003429730937156835,-0.0016333894356259677
vit_base_patch16_224,0,cosine,l2_only,color_only,mean_tokens,12,12,2,56,5.0,2,0.5,0.01,8.0,layer_6,0.0,0.8587087203534803,0.8665711841742413,-0.007862463820760973,91.66666666666666,0.9997652461052939,0.9994355072419542,0.00032973886333981055,-0.0037663624787105813
vit_base_patch16_224,0,cosine,l2_only,color_only,mean_tokens,12,12,4,56,5.0,2,0.5,0.01,8.0,layer_0,4.166666666666666,0.9629764642878298,0.9641504698832737,-0.0011740055954438204,89.58333333333334,0.9999930871019416,0.9999837651835403,9.321918401343035e-06,-0.0005823418385212387
vit_base_patch16_224,0,cosine,l2_only,color_only,mean_tokens,12,12,4,56,5.0,2,0.5,0.01,8.0,layer_11,4.166666666666666,0.9334582266565388,0.9375192620455154,-0.004061035388976546,83.33333333333334,0.9998750363696955,0.9997439061469069,0.00013113022278867423,-0.001964952583093936
vit_base_patch16_224,0,cosine,l2_only,color_only,mean_tokens,12,12,4,56,5.0,2,0.5,0.01,8.0,layer_6,4.166666666666666,0.8638227826345041,0.872214067011101,-0.008391284376597053,85.41666666666666,0.9998196661422979,0.9997050128881405,0.00011465325415741894,-0.004138315561219817
vit_base_patch16_224,0,cosine,l2_only,color_only,mean_tokens,12,12,6,56,5.0,2,0.5,0.01,8.0,layer_0,2.7777777777777777,0.9631378702475468,0.9643555757657121,-0.0012177055181653111,86.11111111111111,0.9999939799298336,0.9999891320850389,4.847844794721014e-06,-0.000606428836685295
vit_base_patch16_224,0,cosine,l2_only,color_only,mean_tokens,12,12,6,56,5.0,2,0.5,0.01,8.0,layer_11,2.7777777777777777,0.9304889092426133,0.9350218786460456,-0.004532969403432347,83.33333333333334,0.9998900045888538,0.9998466124081961,4.339218065766179e-05,-0.0022447886113873424
vit_base_patch16_224,0,cosine,l2_only,color_only,mean_tokens,12,12,6,56,5.0,2,0.5,0.01,8.0,layer_6,2.7777777777777777,0.8601067376482715,0.8689170022216266,-0.008810264573355193,77.77777777777779,0.9998163812649137,0.9997382313070763,7.814995783764211e-05,-0.0043660573077587755
vit_base_patch16_224,0,cosine,l2_only,position_only,mean_tokens,12,72,2,56,5.0,2,0.5,0.01,0.0,layer_0,50.0,0.9610306012998729,0.9606181371324036,0.00041246416746926196,75.71428571428571,0.9992999604655779,0.9991068771760416,0.00019308328953644902,0.0003027737285028555
