category,model_name,pooling,layer,split_label,split_seed,split_mode,n_stored,n_probe,chance_accuracy,corruption_mode,occlusion_frac,decision_noise_std,corruption_label,ident_accuracy_baseline,ident_avg_margin_baseline,gen_accuracy_baseline,gen_avg_margin_baseline,gen_avg_retrieved_human_similarity_baseline,gen_avg_human_similarity_regret_baseline,gen_same_concept_accuracy_baseline,human_rdm_spearman_baseline,exact_accuracy_dam,clean_reextract_accuracy_dam,exact_avg_target_sim_dam,clean_reextract_avg_target_sim_dam,ident_accuracy_dam,ident_avg_target_sim_dam,ident_avg_margin_dam,gen_accuracy_dam,gen_avg_target_sim_dam,gen_avg_margin_dam,gen_avg_retrieved_human_similarity_dam,gen_avg_human_similarity_regret_dam,gen_same_concept_accuracy_dam,probe_rdm_spearman_pre,probe_rdm_spearman_post,probe_rdm_spearman_delta,gen_winners_dam,ident_accuracy_delta,gen_accuracy_delta,gen_avg_margin_delta,gen_avg_human_similarity_regret_delta,qualifying_hard_ident_win,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.9993476465344429,0.9993292808532714,92.5,0.5016384571790695,0.21561289858072996,55.00000000000001,0.4038736340298783,0.1016438178892713,0.7705,0.07874999999999999,100.0,0.10383836426826253,0.24190709494542326,0.13806873067716074,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 28, 10, 34, 28, 0, 11, 36, 14, 21, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 20, 0, 32, 0, 15, 2, 27, 38, 4]",7.5,2.500000000000007,0.09327214212971739,-0.007000000000000006,True,2,0.1,0.05,0.05,1
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.9986471980810165,0.9986959636211395,92.5,0.5064745873212815,0.21613006945699453,55.00000000000001,0.4061473358713556,0.10132423395407386,0.768875,0.080375,100.0,0.10383836426826253,0.24063869457137188,0.13680033030310934,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 28, 10, 34, 28, 10, 11, 36, 14, 28, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 20, 0, 32, 0, 15, 2, 27, 38, 4]",7.5,2.500000000000007,0.09295255819451995,-0.005374999999999991,True,2,0.1,0.05,0.05,2
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.9974629670381546,0.9973915755748749,92.5,0.5050727300345897,0.2155293384566903,55.00000000000001,0.4056857820047298,0.10122922923474106,0.7705,0.07874999999999999,100.0,0.10383836426826253,0.2431342870509245,0.13929592278266195,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 28, 10, 34, 28, 0, 11, 36, 14, 21, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 20, 0, 32, 0, 15, 2, 27, 38, 4]",7.5,2.500000000000007,0.09285755347518715,-0.007000000000000006,True,2,0.1,0.1,0.0,1
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.9948182180523872,0.9949880734086036,90.0,0.5137255862355232,0.2160641301423311,55.00000000000001,0.4094625505851582,0.10042179424781353,0.7695000000000001,0.07975,100.0,0.10383836426826253,0.24058587332816955,0.136747509059907,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 28, 10, 34, 28, 10, 11, 36, 14, 28, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 20, 0, 32, 0, 15, 2, 27, 9, 4]",5.0,2.500000000000007,0.09205011848825961,-0.0059999999999999915,True,2,0.1,0.1,0.0,2
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.9974292844533921,0.997356902062893,92.5,0.5050460167229176,0.21551782097667455,55.00000000000001,0.4056706100149313,0.10122291645093355,0.7705,0.07874999999999999,100.0,0.10383836426826253,0.24313639709968607,0.13929803283142356,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 28, 10, 34, 28, 0, 11, 36, 14, 21, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 20, 0, 32, 0, 15, 2, 27, 38, 4]",7.5,2.500000000000007,0.09285124069137964,-0.007000000000000006,True,2,0.1,0.1,0.05,1
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.9947510540485383,0.994923110306263,90.0,0.5136769644916057,0.21604158785194158,55.00000000000001,0.4094295347633306,0.1004096370714251,0.7695000000000001,0.07975,100.0,0.10383836426826253,0.2405837627085588,0.13674539844029626,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 28, 10, 34, 28, 10, 11, 36, 14, 28, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 20, 0, 32, 0, 15, 2, 27, 9, 4]",5.0,2.500000000000007,0.09203796131187118,-0.0059999999999999915,True,2,0.1,0.1,0.05,2
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.999612694978714,0.9996119156479836,92.5,0.5070843987166882,0.2163797041401267,53.75,0.40671632734593005,0.10173306174110622,0.768875,0.080375,100.0,0.10383836426826253,0.24260650979624054,0.138768145527978,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 28, 10, 34, 28, 10, 11, 36, 14, 28, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 31, 0, 32, 0, 15, 2, 27, 38, 4]",7.5,1.25,0.0933613859815523,-0.005374999999999991,True,2,0.2,0.05,0.0,1
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.9991125255823136,0.9991442933678627,90.0,0.5172870725393295,0.21764483638107776,53.75,0.4117760048538912,0.10135769106564112,0.768875,0.080375,100.0,0.10383836426826253,0.24223869284736613,0.13840032857910362,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 28, 10, 34, 28, 10, 11, 36, 14, 28, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 31, 0, 32, 0, 15, 2, 27, 38, 4]",5.0,1.25,0.0929860153060872,-0.005374999999999991,True,2,0.2,0.05,0.0,2
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.9996031567454338,0.9996019691228867,92.5,0.5070707999169827,0.21637416388839484,53.75,0.4067108299292158,0.10172961225616746,0.768875,0.080375,100.0,0.10383836426826253,0.24261085034293547,0.13877248607467296,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 28, 10, 34, 28, 10, 11, 36, 14, 28, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 31, 0, 32, 0, 15, 2, 27, 38, 4]",7.5,1.25,0.09335793649661354,-0.005374999999999991,True,2,0.2,0.05,0.05,1
animals,vit_base_patch16_224,cls,layer_11,stored_40_seed_0,0,random_storage_curve,40,80,2.5,occlusion,0.5,0.0,occ0.5_dnoise0,85.0,0.02433773726224899,52.5,0.00837167575955391,0.7635,0.08574999999999999,100.0,0.10526453273126307,100.0,100.0,0.9990933820605278,0.9991256415843963,90.0,0.5172643654048443,0.21763482671231033,53.75,0.4117626229475718,0.10135082329506986,0.768875,0.080375,100.0,0.10383836426826253,0.24225065289830489,0.13841228863004235,"[8, 0, 36, 14, 15, 6, 15, 6, 18, 29, 6, 0, 32, 8, 27, 27, 31, 35, 5, 14, 19, 28, 10, 34, 28, 10, 11, 36, 14, 28, 8, 0, 0, 38, 39, 33, 2, 39, 27, 32, 38, 9, 14, 32, 4, 32, 27, 4, 6, 19, 5, 0, 38, 13, 27, 4, 38, 14, 16, 29, 38, 15, 14, 0, 36, 6, 0, 38, 28, 38, 8, 31, 0, 32, 0, 15, 2, 27, 38, 4]",5.0,1.25,0.09297914753551595,-0.005374999999999991,True,2,0.2,0.05,0.05,2
