model_name,seed,metric,preprocess_mode,task_mode,pooling,n_per_color,run_n_per_color,n_stored_per_color,square_size,ident_noise_std,ident_max_shift,ident_occlusion_frac,ident_decision_noise_std,color_only_jitter_std,layer,ident_accuracy,ident_avg_target_sim,ident_avg_best_wrong_sim,ident_avg_margin,gen_accuracy,gen_avg_target_sim,gen_avg_best_wrong_sim,gen_avg_margin,avg_margin
vit_base_patch16_224,0,cosine,l2_only,position_only,cls,12,72,2,56,5.0,2,0.5,0.01,0.0,layer_0,50.0,0.9997692406177521,0.999769002199173,2.384185791015625e-07,82.85714285714286,0.9999976090022495,0.9999965505940573,1.058408192225865e-06,6.484133856637137e-07
vit_base_patch16_224,0,cosine,l2_only,position_only,cls,12,72,2,56,5.0,2,0.5,0.01,0.0,layer_11,50.0,0.9697431027889252,0.9697163701057434,2.6732683181762695e-05,52.85714285714286,0.9892508132117135,0.9886243181569235,0.0006264950547899519,0.0003266138689858573
vit_base_patch16_224,0,cosine,l2_only,position_only,cls,12,72,2,56,5.0,2,0.5,0.01,0.0,layer_6,50.0,0.9826032221317291,0.9803676307201385,0.002235591411590576,52.85714285714286,0.9930857138974326,0.9928776613303594,0.00020805256707327705,0.0012218219893319266
vit_base_patch16_224,0,cosine,l2_only,position_only,cls,12,72,4,56,5.0,2,0.5,0.01,0.0,layer_0,0.0,0.9997643232345581,0.9997697174549103,-5.3942203521728516e-06,67.64705882352942,0.9999977744677487,0.9999972266309402,5.478368085973403e-07,-2.4231917717877557e-06
vit_base_patch16_224,0,cosine,l2_only,position_only,cls,12,72,4,56,5.0,2,0.5,0.01,0.0,layer_11,0.0,0.9696231931447983,0.9727933704853058,-0.0031701773405075073,35.294117647058826,0.9890775890911326,0.9948932475903455,-0.005815658499212826,-0.004492917919860166
vit_base_patch16_224,0,cosine,l2_only,position_only,cls,12,72,4,56,5.0,2,0.5,0.01,0.0,layer_6,25.0,0.9817308038473129,0.9832876771688461,-0.0015568733215332031,36.76470588235294,0.9928854160449084,0.9963591256562401,-0.0034737096113317155,-0.0025152914664324593
vit_base_patch16_224,0,cosine,l2_only,position_only,cls,12,72,6,56,5.0,2,0.5,0.01,0.0,layer_0,0.0,0.9997689624627432,0.9997731149196625,-4.152456919352214e-06,56.060606060606055,0.9999979355118491,0.9999976727095518,2.6280229741876776e-07,-1.944827310966723e-06
vit_base_patch16_224,0,cosine,l2_only,position_only,cls,12,72,6,56,5.0,2,0.5,0.01,0.0,layer_11,0.0,0.971242735783259,0.9745520750681559,-0.0033093392848968506,31.818181818181817,0.988984260595206,0.9956898418339816,-0.006705581238775542,-0.005007460261836197
vit_base_patch16_224,0,cosine,l2_only,position_only,cls,12,72,6,56,5.0,2,0.5,0.01,0.0,layer_6,0.0,0.9806062678496043,0.9825379550457001,-0.0019316871960957844,30.303030303030305,0.9933508381699071,0.9967113697167599,-0.0033605315468528056,-0.002646109371474295
vit_base_patch16_224,0,cosine,l2_only,mixed_color_position,mean_tokens,12,12,2,56,5.0,2,0.5,0.01,0.0,layer_0,0.0,0.9643314977486929,0.9649776717027029,-0.0006461739540100098,73.33333333333333,0.998336386680603,0.9978277762730916,0.0005086104075113933,-6.878177324930824e-05
