setting_name,model_name,pooling,layer,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,neurons,n_splits,ident_accuracy_mean,ident_accuracy_std,gen_accuracy_mean,gen_accuracy_std,mean_pairwise_cosine_similarity_mean,mean_pairwise_cosine_similarity_std,mean_pairwise_cosine_distance_mean,mean_pairwise_cosine_distance_std,pairwise_cosine_similarity_std_mean,pairwise_cosine_similarity_std_std,pairwise_cosine_distance_std_mean,pairwise_cosine_distance_std_std
occ50_s100,vit_base_patch16_224,cls,layer_9,8,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,95.0,0.6324555320336759,40.0,6.324555320336759,0.9488061602510021,0.0001905072274206654,0.051193839748998084,0.000190507227420611,0.009321074481648577,0.0001048176517895584,0.009321074481648577,0.0001048176517895584
occ50_s100,vit_base_patch16_224,cls,layer_10,8,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,95.0,1.0954451150103321,46.0,5.8309518948453025,0.8550775518164508,0.0018181506894793128,0.14492244818354916,0.0018181506894792835,0.036379060894429535,0.0008278570673593399,0.036379060894429535,0.0008278570673593373
occ50_s100,vit_base_patch16_224,cls,layer_11,8,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,91.2,1.3266499161421599,46.0,7.348469228349535,0.8804803849224612,0.0009917471487053801,0.11951961507753886,0.0009917471487054222,0.0227375642443625,0.0002616194486730303,0.0227375642443625,0.0002616194486730303
occ50_s100,vit_base_patch16_clip_224.openai,cls,layer_0,2,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,2.6,0.4898979485566356,1.0,2.0,0.9957475591395382,5.9509573545935547e-05,0.004252440860461804,5.950957354591194e-05,0.0024471856520415806,0.00010331457598617337,0.0024471856520415806,0.00010331457598617342
occ50_s100,vit_base_patch16_clip_224.openai,cls,layer_1,2,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,10.8,1.1661903789690602,3.0,2.449489742783178,0.9956900190975251,4.306458777733962e-05,0.00430998090247493,4.306458777729423e-05,0.0018214584855718145,6.221728756036044e-05,0.0018214584855718145,6.221728756036042e-05
occ50_s100,vit_base_patch16_clip_224.openai,cls,layer_2,2,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,52.2,3.599999999999998,6.0,4.898979485566356,0.9883489538356989,0.00017361751279029958,0.011651046164301165,0.00017361751279033847,0.0045039658998581355,0.0001729485532615986,0.0045039658998581355,0.0001729485532615989
occ50_s100,vit_base_patch16_clip_224.openai,cls,layer_3,2,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,88.2,2.7129319932501073,8.0,2.449489742783178,0.9775692302077748,0.00026438571196729963,0.022430769792225223,0.0002643857119672907,0.007869162118934268,0.00029583645041264994,0.007869162118934268,0.00029583645041264994
occ50_s100,vit_base_patch16_clip_224.openai,cls,layer_4,2,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,99.0,0.0,10.0,4.47213595499958,0.9533439298924915,0.0007115760373307056,0.04665607010750842,0.0007115760373307683,0.01591702238716349,0.00028117283575548185,0.01591702238716349,0.00028117283575548294
occ50_s100,vit_base_patch16_clip_224.openai,cls,layer_5,2,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,100.0,0.0,10.0,4.47213595499958,0.9187316726345406,0.0012818839494165703,0.08126832736545943,0.0012818839494165755,0.02486491408123033,0.0003874633203059917,0.024864914081230333,0.0003874633203059914
occ50_s100,vit_base_patch16_clip_224.openai,cls,layer_6,2,0.02,0.1,0.05,2,100,20,0.0,occlusion,5.0,2,0.5,768,5,100.0,0.0,7.0,2.449489742783178,0.9005150925093842,0.0012412726972614652,0.09948490749061586,0.0012412726972614535,0.025857030140955285,0.00040019950161459503,0.025857030140955285,0.00040019950161459503
