scale_c,n,K,ident_accuracy,gen_accuracy,diff_ident_minus_gen,tradeoff_label
2.0476190476190474,4,10,96.66666666666667,45.33333333333333,51.33333333333334,Ident+
2.0476190476190474,4,20,88.33333333333333,44.0,44.33333333333333,Ident+
2.0476190476190474,4,30,92.22222222222223,38.666666666666664,53.555555555555564,Ident+
2.1523809523809527,4,5,100.0,44.666666666666664,55.333333333333336,Ident+
2.1523809523809527,4,10,93.33333333333333,40.0,53.33333333333333,Ident+
2.1523809523809527,4,20,96.66666666666667,41.333333333333336,55.333333333333336,Ident+
2.1523809523809527,4,30,91.11111111111111,40.666666666666664,50.44444444444445,Ident+
2.257142857142857,4,5,100.0,34.66666666666667,65.33333333333333,Ident+
2.257142857142857,4,10,100.0,31.333333333333336,68.66666666666666,Ident+
2.257142857142857,4,20,100.0,38.0,62.0,Ident+
2.257142857142857,4,30,91.11111111111111,37.333333333333336,53.77777777777778,Ident+
2.361904761904762,4,5,100.0,43.333333333333336,56.666666666666664,Ident+
2.361904761904762,4,10,96.66666666666667,48.66666666666667,48.0,Ident+
2.361904761904762,4,20,96.66666666666667,34.66666666666667,62.0,Ident+
2.361904761904762,4,30,90.0,34.0,56.0,Ident+
2.466666666666667,4,5,100.0,46.0,54.0,Ident+
2.466666666666667,4,10,96.66666666666667,30.666666666666664,66.0,Ident+
2.466666666666667,4,20,100.0,33.33333333333333,66.66666666666667,Ident+
2.466666666666667,4,30,100.0,29.333333333333332,70.66666666666667,Ident+
2.571428571428571,4,5,100.0,38.666666666666664,61.333333333333336,Ident+
2.571428571428571,4,10,100.0,33.33333333333333,66.66666666666667,Ident+
2.571428571428571,4,20,88.33333333333333,37.333333333333336,50.99999999999999,Ident+
2.571428571428571,4,30,93.33333333333333,23.333333333333332,70.0,Ident+
2.6761904761904765,4,5,100.0,42.66666666666667,57.33333333333333,Ident+
2.6761904761904765,4,10,96.66666666666667,29.333333333333332,67.33333333333334,Ident+
2.6761904761904765,4,20,96.66666666666667,30.0,66.66666666666667,Ident+
2.6761904761904765,4,30,98.88888888888889,33.33333333333333,65.55555555555556,Ident+
2.780952380952381,4,5,100.0,38.666666666666664,61.333333333333336,Ident+
2.780952380952381,4,10,100.0,31.333333333333336,68.66666666666666,Ident+
2.780952380952381,4,20,95.0,28.666666666666668,66.33333333333333,Ident+
2.780952380952381,4,30,96.66666666666667,34.0,62.66666666666667,Ident+
2.8857142857142857,4,5,100.0,36.0,64.0,Ident+
2.8857142857142857,4,10,100.0,30.0,70.0,Ident+
2.8857142857142857,4,20,93.33333333333333,24.666666666666668,68.66666666666666,Ident+
2.8857142857142857,4,30,97.77777777777777,26.666666666666668,71.1111111111111,Ident+
2.9904761904761905,4,5,100.0,38.666666666666664,61.333333333333336,Ident+
2.9904761904761905,4,10,96.66666666666667,35.333333333333336,61.333333333333336,Ident+
2.9904761904761905,4,20,100.0,33.33333333333333,66.66666666666667,Ident+
2.9904761904761905,4,30,100.0,34.0,66.0,Ident+
3.0952380952380953,4,5,93.33333333333333,32.0,61.33333333333333,Ident+
3.0952380952380953,4,10,96.66666666666667,25.333333333333336,71.33333333333334,Ident+
3.0952380952380953,4,20,95.0,26.0,69.0,Ident+
3.0952380952380953,4,30,100.0,32.0,68.0,Ident+
3.2,4,5,100.0,29.333333333333332,70.66666666666667,Ident+
3.2,4,10,100.0,36.666666666666664,63.333333333333336,Ident+
3.2,4,20,98.33333333333333,25.333333333333336,73.0,Ident+
3.2,4,30,100.0,32.0,68.0,Ident+
1.0,5,5,80.0,80.0,0.0,Balanced
1.0,5,10,63.33333333333333,38.0,25.33333333333333,Ident+
1.0,5,20,41.66666666666667,48.0,-6.333333333333329,Balanced
1.0,5,30,35.55555555555556,19.333333333333332,16.222222222222225,Ident+
1.1047619047619048,5,5,86.66666666666667,52.666666666666664,34.00000000000001,Ident+
1.1047619047619048,5,10,83.33333333333334,54.0,29.333333333333343,Ident+
1.1047619047619048,5,20,36.666666666666664,30.0,6.666666666666664,Balanced
1.1047619047619048,5,30,42.22222222222222,27.333333333333332,14.88888888888889,Ident+
1.2095238095238094,5,5,80.0,61.33333333333333,18.66666666666667,Ident+
1.2095238095238094,5,10,83.33333333333334,64.0,19.333333333333343,Ident+
1.2095238095238094,5,20,60.0,52.0,8.0,Balanced
1.2095238095238094,5,30,50.0,42.66666666666667,7.333333333333329,Balanced
1.3142857142857143,5,5,93.33333333333333,59.333333333333336,33.99999999999999,Ident+
1.3142857142857143,5,10,86.66666666666667,57.333333333333336,29.333333333333336,Ident+
1.3142857142857143,5,20,65.0,56.666666666666664,8.333333333333336,Balanced
1.3142857142857143,5,30,57.77777777777777,52.0,5.7777777777777715,Balanced
