category,model_name,pooling,layer,corruption_mode,occlusion_frac,decision_noise_std,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_splits,n_qualifying_splits,mean_qualifying_fraction,mean_ident_accuracy_baseline,std_ident_accuracy_baseline,mean_ident_accuracy_dam,std_ident_accuracy_dam,mean_ident_accuracy_delta,std_ident_accuracy_delta,mean_gen_accuracy_baseline,std_gen_accuracy_baseline,mean_gen_accuracy_dam,std_gen_accuracy_dam,mean_gen_accuracy_delta,std_gen_accuracy_delta,mean_gen_avg_margin_delta,std_gen_avg_margin_delta,mean_gen_avg_human_similarity_regret_delta,std_gen_avg_human_similarity_regret_delta,mean_probe_rdm_spearman_delta,std_probe_rdm_spearman_delta,mean_cue_recovered_cosine,std_cue_recovered_cosine,mean_cue_displacement,std_cue_displacement,mean_target_pull_gain,std_target_pull_gain
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.1,0.05,1,10,5,0.5,89.25,3.020761493398643,93.5,3.43693177121688,4.25,2.75,57.875,7.094231811831356,59.25,6.45174395028197,1.375,4.310234912391667,0.09178532576461293,0.01833349646040349,-0.013768750000000001,0.01954615531249048,0.14501387774338861,0.03050553351703741,0.9953128255125003,7.777311804826248e-05,0.004687174487499694,7.777311804824024e-05,-0.0008739426504838259,0.00040188645742068706
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.1,0.05,2,10,5,0.5,89.25,3.020761493398643,92.875,3.0129926982984876,3.625,2.3351927115336757,57.875,7.094231811831356,59.125,6.662628985618215,1.2499999999999993,4.506939094329987,0.09099385781886668,0.018369118212976394,-0.01365625,0.019856260819952988,0.1447361903030281,0.02959862839471138,0.9906657695652223,0.0001938128815948152,0.009334230434777683,0.000193812881594876,-0.0017809464500521885,0.0003144066608153506
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.1,0.05,3,10,4,0.4,89.25,3.020761493398643,92.75,2.8939592256975564,3.5,2.1505813167606567,57.875,7.094231811831356,59.125,7.005578134601027,1.2499999999999993,4.808846015417837,0.09012809452746297,0.01813296433934667,-0.01445625,0.019769092828200285,0.1460050674141063,0.03044020309371351,0.986059584115073,0.0002717742732309649,0.013940415884927107,0.00027177427323098424,-0.002803513518826011,0.0005478228379067862
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.1,0.05,5,10,4,0.4,89.25,3.020761493398643,93.0,2.968585521759479,3.75,1.9364916731037085,57.875,7.094231811831356,58.75,6.959705453537528,0.8749999999999979,3.667850187780303,0.08876998124760575,0.01811421710857875,-0.012581250000000002,0.019072513763266755,0.14759529888023531,0.027989483521406757,0.9769387746969332,0.00044024359516576725,0.02306122530306676,0.00044024359516572925,-0.004206135395287957,0.000832381512992197
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.1,0.05,8,10,2,0.2,89.25,3.020761493398643,93.125,2.9712160810011783,3.875,2.2672946434021317,57.875,7.094231811831356,58.75,7.048936089935842,0.8750000000000007,3.3564303955243866,0.08672428132915229,0.017993125834464056,-0.01319375,0.020653412248342884,0.15019491282274006,0.029418695003762162,0.9636232748903965,0.0007437195497311927,0.03637672510960356,0.0007437195497311869,-0.006265557229725167,0.0013069336863630546
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.05,0.02,0.0,1,10,4,0.4,89.25,3.020761493398643,93.375,3.2137400330456103,4.125,2.683863819197986,57.875,7.094231811831356,59.125,6.047985201701473,1.2499999999999993,4.366062299143245,0.09256337791586702,0.018430879257195183,-0.013706250000000003,0.01961444381699364,0.14657994264406082,0.030750253218015156,0.9998262260439035,6.447113067766419e-06,0.0001737739560965659,6.447113067775591e-06,0.0005994162451574014,0.0001407496682809654
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.05,0.02,0.0,2,10,4,0.4,89.25,3.020761493398643,93.375,3.2137400330456103,4.125,2.683863819197986,57.875,7.094231811831356,59.25,5.947688626685159,1.375,4.382137035739526,0.09246570533519843,0.018482401930737854,-0.013506250000000003,0.01969635118492763,0.14690478871162088,0.03064446168937414,0.9996503653371308,1.3317022600572572e-05,0.0003496346628692756,1.3317022600620394e-05,0.0011917907812782347,0.0002446627425068175
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.05,0.02,0.0,3,10,4,0.4,89.25,3.020761493398643,93.375,3.2137400330456103,4.125,2.683863819197986,57.875,7.094231811831356,59.25,5.947688626685159,1.375,4.382137035739526,0.09236342152638827,0.018469120113315297,-0.013668750000000002,0.019602072594498778,0.14741810436282454,0.030869746524515743,0.9994722382666235,1.702844545146726e-05,0.0005277617333765365,1.7028445451481864e-05,0.0017576285256449924,0.0003451054432184703
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.05,0.02,0.0,5,10,4,0.4,89.25,3.020761493398643,93.375,3.2137400330456103,4.125,2.683863819197986,57.875,7.094231811831356,59.25,5.947688626685159,1.375,4.382137035739526,0.09220837044122164,0.01853329887583125,-0.014068750000000001,0.019420253602875533,0.1483176745031696,0.03037706721983949,0.9991101257884981,2.2657368486816655e-05,0.0008898742115017695,2.2657368486762394e-05,0.00300287127704804,0.0006324354337754904
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.05,0.02,0.0,8,10,5,0.5,89.25,3.020761493398643,93.375,3.2137400330456103,4.125,2.683863819197986,57.875,7.094231811831356,59.25,6.378675411086538,1.3749999999999987,4.310234912391667,0.0919631724523788,0.018593598419637175,-0.014356250000000006,0.019432652128569584,0.14980612081482872,0.030470423852185076,0.9985492029306193,3.2153178674524166e-05,0.0014507970693808715,3.215317867446697e-05,0.004863596573416441,0.0009616519022217018
